StockCode,Prediksi_Demand_AI_7Hari,Kontribusi_%,Kumulatif_%,Kategori_ABC,Safety_Stock_Rekomendasi,Rekomendasi_Total_Stok_Gudang
23109,3089,"0,08202%","63,6%",Kelas A (Fast-Moving),260,3349
22113,3084,"0,08188%","63,68%",Kelas A (Fast-Moving),260,3343
16235,3082,"0,08183%","63,77%",Kelas A (Fast-Moving),260,3342
21668,3079,"0,08174%","63,85%",Kelas A (Fast-Moving),260,3338
22348,3078,"0,08171%","63,93%",Kelas A (Fast-Moving),260,3337
22759,3075,"0,08164%","64,01%",Kelas A (Fast-Moving),260,3334
POST,3054,"0,08108%","64,09%",Kelas A (Fast-Moving),260,3313
23489,3046,"0,08087%","64,17%",Kelas A (Fast-Moving),260,3305
21015,3040,"0,08071%","64,25%",Kelas A (Fast-Moving),260,3299
22614,3033,"0,08052%","64,33%",Kelas A (Fast-Moving),260,3292
20718,3022,"0,08023%","64,41%",Kelas A (Fast-Moving),260,3281
21086,3014,"0,08003%","64,49%",Kelas A (Fast-Moving),260,3274
22328,3012,"0,07996%","64,57%",Kelas A (Fast-Moving),260,3271
22083,3008,"0,07986%","64,65%",Kelas A (Fast-Moving),260,3267
22738,2990,"0,07938%","64,73%",Kelas A (Fast-Moving),260,3249
84375,2985,"0,07925%","64,81%",Kelas A (Fast-Moving),260,3244
23329,2978,"0,07905%","64,89%",Kelas A (Fast-Moving),260,3237
22835,2968,"0,07881%","64,97%",Kelas A (Fast-Moving),260,3228
M,2964,"0,07869%","65,05%",Kelas A (Fast-Moving),260,3223
23546,2963,"0,07865%","65,13%",Kelas A (Fast-Moving),260,3222
23369,2947,"0,07824%","65,21%",Kelas A (Fast-Moving),260,3206
23083,2939,"0,07802%","65,28%",Kelas A (Fast-Moving),260,3198
20996,2927,"0,07772%","65,36%",Kelas A (Fast-Moving),260,3187
22940,2925,"0,07764%","65,44%",Kelas A (Fast-Moving),260,3184
22979,2919,"0,07749%","65,52%",Kelas A (Fast-Moving),260,3178
23330,2912,"0,07732%","65,59%",Kelas A (Fast-Moving),260,3172
22594,2909,"0,07722%","65,67%",Kelas A (Fast-Moving),260,3168
23221,2907,"0,07718%","65,75%",Kelas A (Fast-Moving),260,3166
21121,2892,"0,07677%","65,83%",Kelas A (Fast-Moving),260,3151
23426,2892,"0,07677%","65,9%",Kelas A (Fast-Moving),260,3151
16156S,2887,"0,07664%","65,98%",Kelas A (Fast-Moving),260,3146
23530,2878,"0,07641%","66,06%",Kelas A (Fast-Moving),260,3137
16045,2855,"0,07579%","66,13%",Kelas A (Fast-Moving),260,3114
23000,2850,"0,07565%","66,21%",Kelas A (Fast-Moving),260,3109
22997,2839,"0,07536%","66,28%",Kelas A (Fast-Moving),260,3098
23265,2831,"0,07516%","66,36%",Kelas A (Fast-Moving),260,3090
22161,2808,"0,07455%","66,43%",Kelas A (Fast-Moving),260,3067
21481,2795,"0,07421%","66,51%",Kelas A (Fast-Moving),260,3055
21917,2794,"0,07418%","66,58%",Kelas A (Fast-Moving),260,3053
16008,2791,"0,07408%","66,65%",Kelas A (Fast-Moving),260,3050
23167,2784,"0,07392%","66,73%",Kelas A (Fast-Moving),260,3043
23286,2775,"0,07368%","66,8%",Kelas A (Fast-Moving),260,3034
84029G,2759,"0,07324%","66,88%",Kelas A (Fast-Moving),260,3018
84997D,2756,"0,07316%","66,95%",Kelas A (Fast-Moving),260,3015
21172,2741,"0,07277%","67,02%",Kelas A (Fast-Moving),260,3000
82582,2737,"0,07268%","67,09%",Kelas A (Fast-Moving),260,2997
22297,2735,"0,07262%","67,17%",Kelas A (Fast-Moving),260,2995
22339,2724,"0,07233%","67,24%",Kelas A (Fast-Moving),260,2984
22027,2706,"0,07184%","67,31%",Kelas A (Fast-Moving),260,2965
21314,2703,"0,07176%","67,38%",Kelas A (Fast-Moving),260,2962
23182,2701,"0,0717%","67,45%",Kelas A (Fast-Moving),260,2960
22041,2693,"0,07148%","67,53%",Kelas A (Fast-Moving),260,2952
23122,2690,"0,0714%","67,6%",Kelas A (Fast-Moving),260,2949
21287,2680,"0,07114%","67,67%",Kelas A (Fast-Moving),260,2939
21154,2670,"0,07089%","67,74%",Kelas A (Fast-Moving),260,2930
84596F,2660,"0,0706%","67,81%",Kelas A (Fast-Moving),260,2919
22631,2656,"0,07051%","67,88%",Kelas A (Fast-Moving),260,2915
23172,2635,"0,06996%","67,95%",Kelas A (Fast-Moving),260,2895
23274,2619,"0,06953%","68,02%",Kelas A (Fast-Moving),260,2878
22600,2615,"0,06942%","68,09%",Kelas A (Fast-Moving),260,2874
22091,2613,"0,06936%","68,16%",Kelas A (Fast-Moving),260,2872
23035,2610,"0,06929%","68,23%",Kelas A (Fast-Moving),260,2869
23545,2606,"0,06919%","68,3%",Kelas A (Fast-Moving),260,2865
21984,2606,"0,06918%","68,37%",Kelas A (Fast-Moving),260,2865
23290,2584,"0,0686%","68,43%",Kelas A (Fast-Moving),260,2843
21809,2582,"0,06855%","68,5%",Kelas A (Fast-Moving),260,2841
20979,2581,"0,06852%","68,57%",Kelas A (Fast-Moving),260,2840
21876,2559,"0,06795%","68,64%",Kelas A (Fast-Moving),260,2819
23312,2558,"0,06791%","68,71%",Kelas A (Fast-Moving),260,2817
23082,2552,"0,06774%","68,78%",Kelas A (Fast-Moving),260,2811
23509,2548,"0,06766%","68,84%",Kelas A (Fast-Moving),260,2808
22549,2536,"0,06733%","68,91%",Kelas A (Fast-Moving),260,2795
22603,2532,"0,06723%","68,98%",Kelas A (Fast-Moving),260,2792
21669,2532,"0,06721%","69,04%",Kelas A (Fast-Moving),260,2791
84832,2524,"0,06701%","69,11%",Kelas A (Fast-Moving),260,2783
84949,2515,"0,06676%","69,18%",Kelas A (Fast-Moving),260,2774
21509,2514,"0,06675%","69,25%",Kelas A (Fast-Moving),260,2774
51014C,2514,"0,06675%","69,31%",Kelas A (Fast-Moving),260,2774
22030,2512,"0,06668%","69,38%",Kelas A (Fast-Moving),260,2771
23196,2505,"0,06649%","69,45%",Kelas A (Fast-Moving),260,2764
23389,2505,"0,06649%","69,51%",Kelas A (Fast-Moving),260,2764
22530,2504,"0,06648%","69,58%",Kelas A (Fast-Moving),260,2764
23534,2503,"0,06645%","69,64%",Kelas A (Fast-Moving),260,2762
23165,2498,"0,06631%","69,71%",Kelas A (Fast-Moving),260,2757
21500,2494,"0,0662%","69,78%",Kelas A (Fast-Moving),260,2753
21238,2487,"0,06602%","69,84%",Kelas A (Fast-Moving),260,2746
22187,2480,"0,06585%","69,91%",Kelas A (Fast-Moving),260,2740
47503A,2465,"0,06543%","69,97%",Kelas A (Fast-Moving),260,2724
22421,2462,"0,06536%","70,04%",Kelas B (Medium-Moving),87,2548
22491,2459,"0,06527%","70,11%",Kelas B (Medium-Moving),87,2545
23292,2451,"0,06507%","70,17%",Kelas B (Medium-Moving),87,2538
23158,2442,"0,06483%","70,24%",Kelas B (Medium-Moving),87,2528
23681,2440,"0,06477%","70,3%",Kelas B (Medium-Moving),87,2526
22546,2437,"0,06469%","70,36%",Kelas B (Medium-Moving),87,2523
22704,2424,"0,06436%","70,43%",Kelas B (Medium-Moving),87,2511
82581,2423,"0,06431%","70,49%",Kelas B (Medium-Moving),87,2509
21892,2420,"0,06423%","70,56%",Kelas B (Medium-Moving),87,2506
22574,2419,"0,06423%","70,62%",Kelas B (Medium-Moving),87,2506
85049E,2417,"0,06416%","70,69%",Kelas B (Medium-Moving),87,2503
22037,2416,"0,06415%","70,75%",Kelas B (Medium-Moving),87,2503
22367,2415,"0,0641%","70,81%",Kelas B (Medium-Moving),87,2501
23531,2397,"0,06363%","70,88%",Kelas B (Medium-Moving),87,2483
23473,2396,"0,06362%","70,94%",Kelas B (Medium-Moving),87,2483
22398,2395,"0,06359%","71,0%",Kelas B (Medium-Moving),87,2482
23089,2390,"0,06345%","71,07%",Kelas B (Medium-Moving),87,2476
22581,2388,"0,06339%","71,13%",Kelas B (Medium-Moving),87,2474
21507,2386,"0,06335%","71,2%",Kelas B (Medium-Moving),87,2473
21559,2383,"0,06327%","71,26%",Kelas B (Medium-Moving),87,2470
22219,2376,"0,06307%","71,32%",Kelas B (Medium-Moving),87,2462
22732,2366,"0,06282%","71,38%",Kelas B (Medium-Moving),87,2453
22306,2366,"0,06281%","71,45%",Kelas B (Medium-Moving),87,2453
22733,2364,"0,06276%","71,51%",Kelas B (Medium-Moving),87,2450
22440,2356,"0,06253%","71,57%",Kelas B (Medium-Moving),87,2442
21162,2342,"0,06217%","71,63%",Kelas B (Medium-Moving),87,2428
84536A,2340,"0,06213%","71,7%",Kelas B (Medium-Moving),87,2427
23288,2336,"0,06201%","71,76%",Kelas B (Medium-Moving),87,2422
21165,2331,"0,06189%","71,82%",Kelas B (Medium-Moving),87,2418
20983,2328,"0,0618%","71,88%",Kelas B (Medium-Moving),87,2415
46000S,2328,"0,06179%","71,94%",Kelas B (Medium-Moving),87,2414
85199S,2325,"0,06171%","72,01%",Kelas B (Medium-Moving),87,2411
22941,2322,"0,06164%","72,07%",Kelas B (Medium-Moving),87,2408
82484,2321,"0,06161%","72,13%",Kelas B (Medium-Moving),87,2407
21935,2316,"0,06148%","72,19%",Kelas B (Medium-Moving),87,2402
22043,2316,"0,06147%","72,25%",Kelas B (Medium-Moving),87,2402
22812,2305,"0,06118%","72,31%",Kelas B (Medium-Moving),87,2391
23175,2299,"0,06102%","72,37%",Kelas B (Medium-Moving),87,2385
23267,2299,"0,06102%","72,44%",Kelas B (Medium-Moving),87,2385
23241,2298,"0,06101%","72,5%",Kelas B (Medium-Moving),87,2385
22739,2295,"0,06093%","72,56%",Kelas B (Medium-Moving),87,2382
23191,2291,"0,06082%","72,62%",Kelas B (Medium-Moving),87,2377
21986,2282,"0,06058%","72,68%",Kelas B (Medium-Moving),87,2369
47591D,2281,"0,06056%","72,74%",Kelas B (Medium-Moving),87,2368
21874,2281,"0,06055%","72,8%",Kelas B (Medium-Moving),87,2367
22174,2276,"0,06042%","72,86%",Kelas B (Medium-Moving),87,2362
22999,2269,"0,06022%","72,92%",Kelas B (Medium-Moving),87,2355
23220,2257,"0,05993%","72,98%",Kelas B (Medium-Moving),87,2344
23120,2239,"0,05944%","73,04%",Kelas B (Medium-Moving),87,2326
20711,2223,"0,05901%","73,1%",Kelas B (Medium-Moving),87,2309
22531,2223,"0,059%","73,16%",Kelas B (Medium-Moving),87,2309
20982,2221,"0,05897%","73,22%",Kelas B (Medium-Moving),87,2308
23002,2217,"0,05886%","73,28%",Kelas B (Medium-Moving),87,2304
23323,2202,"0,05845%","73,33%",Kelas B (Medium-Moving),87,2288
22580,2198,"0,05834%","73,39%",Kelas B (Medium-Moving),87,2284
23373,2197,"0,05833%","73,45%",Kelas B (Medium-Moving),87,2284
23535,2196,"0,05829%","73,51%",Kelas B (Medium-Moving),87,2282
23494,2188,"0,05809%","73,57%",Kelas B (Medium-Moving),87,2275
22576,2185,"0,05801%","73,63%",Kelas B (Medium-Moving),87,2272
22466,2184,"0,05797%","73,68%",Kelas B (Medium-Moving),87,2270
22028,2181,"0,0579%","73,74%",Kelas B (Medium-Moving),87,2267
22809,2181,"0,05789%","73,8%",Kelas B (Medium-Moving),87,2267
22817,2167,"0,05754%","73,86%",Kelas B (Medium-Moving),87,2254
23256,2161,"0,05737%","73,91%",Kelas B (Medium-Moving),87,2247
22539,2157,"0,05726%","73,97%",Kelas B (Medium-Moving),87,2244
35471D,2152,"0,05712%","74,03%",Kelas B (Medium-Moving),87,2238
21390,2150,"0,05707%","74,09%",Kelas B (Medium-Moving),87,2236
23217,2144,"0,05691%","74,14%",Kelas B (Medium-Moving),87,2230
21900,2140,"0,05681%","74,2%",Kelas B (Medium-Moving),87,2226
22962,2140,"0,05681%","74,26%",Kelas B (Medium-Moving),87,2226
23326,2140,"0,0568%","74,31%",Kelas B (Medium-Moving),87,2226
22093,2136,"0,05669%","74,37%",Kelas B (Medium-Moving),87,2222
84997B,2135,"0,05668%","74,43%",Kelas B (Medium-Moving),87,2222
21484,2134,"0,05666%","74,48%",Kelas B (Medium-Moving),87,2221
22792,2124,"0,05638%","74,54%",Kelas B (Medium-Moving),87,2210
22819,2124,"0,05638%","74,6%",Kelas B (Medium-Moving),87,2210
23108,2113,"0,0561%","74,65%",Kelas B (Medium-Moving),87,2200
22815,2109,"0,05598%","74,71%",Kelas B (Medium-Moving),87,2195
23174,2095,"0,05561%","74,76%",Kelas B (Medium-Moving),87,2181
22130,2089,"0,05546%","74,82%",Kelas B (Medium-Moving),87,2176
22150,2083,"0,05529%","74,87%",Kelas B (Medium-Moving),87,2169
22737,2081,"0,05524%","74,93%",Kelas B (Medium-Moving),87,2167
23360,2080,"0,05522%","74,98%",Kelas B (Medium-Moving),87,2167
23236,2077,"0,05515%","75,04%",Kelas B (Medium-Moving),87,2164
23490,2076,"0,0551%","75,09%",Kelas B (Medium-Moving),87,2162
21494,2074,"0,05506%","75,15%",Kelas B (Medium-Moving),87,2160
22460,2073,"0,05503%","75,2%",Kelas B (Medium-Moving),87,2159
22663,2071,"0,05498%","75,26%",Kelas B (Medium-Moving),87,2157
23148,2062,"0,05475%","75,31%",Kelas B (Medium-Moving),87,2149
23225,2059,"0,05466%","75,37%",Kelas B (Medium-Moving),87,2145
23348,2053,"0,05451%","75,42%",Kelas B (Medium-Moving),87,2140
22619,2053,"0,05451%","75,48%",Kelas B (Medium-Moving),87,2140
22333,2052,"0,05448%","75,53%",Kelas B (Medium-Moving),87,2139
22908,2050,"0,05443%","75,59%",Kelas B (Medium-Moving),87,2137
22602,2050,"0,05442%","75,64%",Kelas B (Medium-Moving),87,2136
23404,2045,"0,05428%","75,7%",Kelas B (Medium-Moving),87,2131
22464,2040,"0,05417%","75,75%",Kelas B (Medium-Moving),87,2127
21908,2039,"0,05414%","75,8%",Kelas B (Medium-Moving),87,2126
85034C,2039,"0,05413%","75,86%",Kelas B (Medium-Moving),87,2126
21174,2037,"0,05408%","75,91%",Kelas B (Medium-Moving),87,2123
23306,2020,"0,05362%","75,97%",Kelas B (Medium-Moving),87,2106
23121,2015,"0,05348%","76,02%",Kelas B (Medium-Moving),87,2101
21983,2003,"0,05318%","76,07%",Kelas B (Medium-Moving),87,2090
22915,2001,"0,05311%","76,13%",Kelas B (Medium-Moving),87,2087
22995,1999,"0,05306%","76,18%",Kelas B (Medium-Moving),87,2085
22813,1996,"0,05298%","76,23%",Kelas B (Medium-Moving),87,2082
21671,1995,"0,05297%","76,28%",Kelas B (Medium-Moving),87,2082
85048,1989,"0,05279%","76,34%",Kelas B (Medium-Moving),87,2075
22563,1988,"0,05277%","76,39%",Kelas B (Medium-Moving),87,2074
22736,1982,"0,05261%","76,44%",Kelas B (Medium-Moving),87,2068
23214,1974,"0,0524%","76,5%",Kelas B (Medium-Moving),87,2060
23229,1973,"0,05238%","76,55%",Kelas B (Medium-Moving),87,2060
21155,1967,"0,05223%","76,6%",Kelas B (Medium-Moving),87,2054
21122,1966,"0,05218%","76,65%",Kelas B (Medium-Moving),87,2052
22196,1952,"0,05181%","76,7%",Kelas B (Medium-Moving),87,2038
22994,1950,"0,05177%","76,76%",Kelas B (Medium-Moving),87,2037
85015,1945,"0,05163%","76,81%",Kelas B (Medium-Moving),87,2031
22564,1944,"0,0516%","76,86%",Kelas B (Medium-Moving),87,2030
84997C,1942,"0,05154%","76,91%",Kelas B (Medium-Moving),87,2028
22814,1939,"0,05148%","76,96%",Kelas B (Medium-Moving),87,2026
22730,1932,"0,05128%","77,01%",Kelas B (Medium-Moving),87,2018
23197,1931,"0,05125%","77,06%",Kelas B (Medium-Moving),87,2017
22667,1929,"0,05121%","77,12%",Kelas B (Medium-Moving),87,2016
23004,1925,"0,05109%","77,17%",Kelas B (Medium-Moving),87,2011
20677,1916,"0,05086%","77,22%",Kelas B (Medium-Moving),87,2002
22766,1903,"0,05052%","77,27%",Kelas B (Medium-Moving),87,1989
22898,1897,"0,05036%","77,32%",Kelas B (Medium-Moving),87,1983
23433,1892,"0,05023%","77,37%",Kelas B (Medium-Moving),87,1979
21670,1890,"0,05018%","77,42%",Kelas B (Medium-Moving),87,1977
22714,1890,"0,05018%","77,47%",Kelas B (Medium-Moving),87,1977
22094,1889,"0,05016%","77,52%",Kelas B (Medium-Moving),87,1976
21156,1889,"0,05016%","77,57%",Kelas B (Medium-Moving),87,1976
20685,1884,"0,05002%","77,62%",Kelas B (Medium-Moving),87,1971
22568,1883,"0,05%","77,67%",Kelas B (Medium-Moving),87,1970
23453,1880,"0,04991%","77,72%",Kelas B (Medium-Moving),87,1967
51014L,1877,"0,04983%","77,77%",Kelas B (Medium-Moving),87,1964
22152,1873,"0,04971%","77,82%",Kelas B (Medium-Moving),87,1959
23505,1864,"0,04949%","77,87%",Kelas B (Medium-Moving),87,1951
23119,1854,"0,04921%","77,92%",Kelas B (Medium-Moving),87,1940
22653,1850,"0,0491%","77,97%",Kelas B (Medium-Moving),87,1936
22775,1847,"0,04904%","78,02%",Kelas B (Medium-Moving),87,1934
23291,1840,"0,04884%","78,06%",Kelas B (Medium-Moving),87,1926
23289,1839,"0,04881%","78,11%",Kelas B (Medium-Moving),87,1925
22651,1838,"0,04878%","78,16%",Kelas B (Medium-Moving),87,1924
21430,1833,"0,04865%","78,21%",Kelas B (Medium-Moving),87,1919
21672,1827,"0,0485%","78,26%",Kelas B (Medium-Moving),87,1914
22335,1827,"0,0485%","78,31%",Kelas B (Medium-Moving),87,1913
21932,1815,"0,04818%","78,36%",Kelas B (Medium-Moving),87,1901
35961,1807,"0,04798%","78,4%",Kelas B (Medium-Moving),87,1894
23452,1799,"0,04775%","78,45%",Kelas B (Medium-Moving),87,1885
23566,1793,"0,04759%","78,5%",Kelas B (Medium-Moving),87,1879
22964,1786,"0,04742%","78,55%",Kelas B (Medium-Moving),87,1873
21429,1780,"0,04725%","78,59%",Kelas B (Medium-Moving),87,1866
22303,1778,"0,04721%","78,64%",Kelas B (Medium-Moving),87,1865
23381,1773,"0,04706%","78,69%",Kelas B (Medium-Moving),87,1859
21673,1769,"0,04697%","78,74%",Kelas B (Medium-Moving),87,1856
82552,1769,"0,04695%","78,78%",Kelas B (Medium-Moving),87,1855
20981,1764,"0,04681%","78,83%",Kelas B (Medium-Moving),87,1850
23280,1763,"0,04681%","78,88%",Kelas B (Medium-Moving),87,1850
22080,1763,"0,04679%","78,92%",Kelas B (Medium-Moving),87,1849
23228,1754,"0,04655%","78,97%",Kelas B (Medium-Moving),87,1840
23393,1750,"0,04645%","79,02%",Kelas B (Medium-Moving),87,1836
23565,1750,"0,04644%","79,06%",Kelas B (Medium-Moving),87,1836
23173,1745,"0,04632%","79,11%",Kelas B (Medium-Moving),87,1831
23270,1738,"0,04613%","79,15%",Kelas B (Medium-Moving),87,1824
23186,1737,"0,0461%","79,2%",Kelas B (Medium-Moving),87,1823
22749,1729,"0,0459%","79,25%",Kelas B (Medium-Moving),87,1815
23189,1729,"0,04589%","79,29%",Kelas B (Medium-Moving),87,1815
22352,1726,"0,04582%","79,34%",Kelas B (Medium-Moving),87,1813
22646,1725,"0,0458%","79,38%",Kelas B (Medium-Moving),87,1812
22082,1722,"0,04572%","79,43%",Kelas B (Medium-Moving),87,1809
23223,1719,"0,04564%","79,48%",Kelas B (Medium-Moving),87,1806
22075,1713,"0,04548%","79,52%",Kelas B (Medium-Moving),87,1800
48138,1712,"0,04545%","79,57%",Kelas B (Medium-Moving),87,1799
15056BL,1709,"0,04537%","79,61%",Kelas B (Medium-Moving),87,1795
22948,1708,"0,04535%","79,66%",Kelas B (Medium-Moving),87,1795
16014,1707,"0,04531%","79,7%",Kelas B (Medium-Moving),87,1793
23390,1701,"0,04517%","79,75%",Kelas B (Medium-Moving),87,1788
35964,1698,"0,04507%","79,79%",Kelas B (Medium-Moving),87,1784
20969,1696,"0,04502%","79,84%",Kelas B (Medium-Moving),87,1782
22713,1694,"0,04496%","79,88%",Kelas B (Medium-Moving),87,1780
21591,1693,"0,04493%","79,93%",Kelas B (Medium-Moving),87,1779
22437,1686,"0,04476%","79,97%",Kelas B (Medium-Moving),87,1773
21803,1685,"0,04472%","80,02%",Kelas B (Medium-Moving),87,1771
20717,1683,"0,04466%","80,06%",Kelas B (Medium-Moving),87,1769
22024,1682,"0,04464%","80,11%",Kelas B (Medium-Moving),87,1768
23359,1680,"0,04459%","80,15%",Kelas B (Medium-Moving),87,1766
21523,1679,"0,04456%","80,2%",Kelas B (Medium-Moving),87,1765
23194,1678,"0,04455%","80,24%",Kelas B (Medium-Moving),87,1765
23190,1677,"0,04452%","80,28%",Kelas B (Medium-Moving),87,1763
22963,1676,"0,04448%","80,33%",Kelas B (Medium-Moving),87,1762
22895,1674,"0,04443%","80,37%",Kelas B (Medium-Moving),87,1760
23541,1673,"0,04442%","80,42%",Kelas B (Medium-Moving),87,1760
20978,1668,"0,04427%","80,46%",Kelas B (Medium-Moving),87,1754
23169,1662,"0,04412%","80,51%",Kelas B (Medium-Moving),87,1748
22186,1662,"0,04412%","80,55%",Kelas B (Medium-Moving),87,1748
82551,1654,"0,04391%","80,59%",Kelas B (Medium-Moving),87,1741
23177,1651,"0,04382%","80,64%",Kelas B (Medium-Moving),87,1737
21934,1645,"0,04367%","80,68%",Kelas B (Medium-Moving),87,1732
47593B,1645,"0,04366%","80,73%",Kelas B (Medium-Moving),87,1731
22095,1643,"0,04362%","80,77%",Kelas B (Medium-Moving),87,1730
22435,1641,"0,04355%","80,81%",Kelas B (Medium-Moving),87,1727
23526,1639,"0,0435%","80,86%",Kelas B (Medium-Moving),87,1725
21902,1633,"0,04335%","80,9%",Kelas B (Medium-Moving),87,1720
23238,1630,"0,04328%","80,94%",Kelas B (Medium-Moving),87,1717
22536,1628,"0,0432%","80,99%",Kelas B (Medium-Moving),87,1714
23154,1623,"0,04308%","81,03%",Kelas B (Medium-Moving),87,1709
22488,1623,"0,04307%","81,07%",Kelas B (Medium-Moving),87,1709
22851,1622,"0,04305%","81,11%",Kelas B (Medium-Moving),87,1708
22465,1621,"0,04302%","81,16%",Kelas B (Medium-Moving),87,1707
21158,1614,"0,04285%","81,2%",Kelas B (Medium-Moving),87,1701
17091J,1610,"0,04274%","81,24%",Kelas B (Medium-Moving),87,1696
22899,1609,"0,0427%","81,29%",Kelas B (Medium-Moving),87,1695
37340,1608,"0,0427%","81,33%",Kelas B (Medium-Moving),87,1695
21899,1608,"0,04268%","81,37%",Kelas B (Medium-Moving),87,1694
22750,1607,"0,04267%","81,41%",Kelas B (Medium-Moving),87,1694
22507,1605,"0,0426%","81,46%",Kelas B (Medium-Moving),87,1691
23254,1602,"0,04252%","81,5%",Kelas B (Medium-Moving),87,1688
23395,1599,"0,04246%","81,54%",Kelas B (Medium-Moving),87,1686
35095A,1598,"0,04243%","81,58%",Kelas B (Medium-Moving),87,1685
85227,1597,"0,04238%","81,63%",Kelas B (Medium-Moving),87,1683
21218,1595,"0,04234%","81,67%",Kelas B (Medium-Moving),87,1681
23176,1587,"0,04213%","81,71%",Kelas B (Medium-Moving),87,1673
22493,1586,"0,04209%","81,75%",Kelas B (Medium-Moving),87,1672
21754,1579,"0,0419%","81,8%",Kelas B (Medium-Moving),87,1665
21159,1578,"0,0419%","81,84%",Kelas B (Medium-Moving),87,1665
23145,1574,"0,04179%","81,88%",Kelas B (Medium-Moving),87,1661
15056N,1571,"0,04171%","81,92%",Kelas B (Medium-Moving),87,1658
23474,1569,"0,04164%","81,96%",Kelas B (Medium-Moving),87,1655
84012,1569,"0,04164%","82,0%",Kelas B (Medium-Moving),87,1655
22099,1564,"0,04153%","82,05%",Kelas B (Medium-Moving),87,1651
22381,1563,"0,0415%","82,09%",Kelas B (Medium-Moving),87,1650
23564,1561,"0,04144%","82,13%",Kelas B (Medium-Moving),87,1647
23273,1552,"0,0412%","82,17%",Kelas B (Medium-Moving),87,1638
23435,1550,"0,04115%","82,21%",Kelas B (Medium-Moving),87,1636
22436,1548,"0,0411%","82,25%",Kelas B (Medium-Moving),87,1635
15039,1542,"0,04092%","82,29%",Kelas B (Medium-Moving),87,1628
23285,1530,"0,04062%","82,33%",Kelas B (Medium-Moving),87,1617
23227,1523,"0,04043%","82,37%",Kelas B (Medium-Moving),87,1610
22115,1520,"0,04033%","82,41%",Kelas B (Medium-Moving),87,1606
22772,1515,"0,04022%","82,45%",Kelas B (Medium-Moving),87,1602
22109,1513,"0,04016%","82,49%",Kelas B (Medium-Moving),87,1600
82483,1512,"0,04013%","82,53%",Kelas B (Medium-Moving),87,1598
23269,1511,"0,04011%","82,57%",Kelas B (Medium-Moving),87,1598
23129,1511,"0,04011%","82,61%",Kelas B (Medium-Moving),87,1597
48187,1507,"0,04002%","82,65%",Kelas B (Medium-Moving),87,1594
10135,1502,"0,03986%","82,69%",Kelas B (Medium-Moving),87,1588
22751,1499,"0,03979%","82,73%",Kelas B (Medium-Moving),87,1585
22402,1496,"0,0397%","82,77%",Kelas B (Medium-Moving),87,1582
22400,1493,"0,03963%","82,81%",Kelas B (Medium-Moving),87,1579
22097,1490,"0,03956%","82,85%",Kelas B (Medium-Moving),87,1577
22087,1488,"0,0395%","82,89%",Kelas B (Medium-Moving),87,1574
22989,1486,"0,03945%","82,93%",Kelas B (Medium-Moving),87,1573
23193,1485,"0,03941%","82,97%",Kelas B (Medium-Moving),87,1571
23388,1484,"0,03939%","83,01%",Kelas B (Medium-Moving),87,1571
22617,1481,"0,03932%","83,05%",Kelas B (Medium-Moving),87,1568
22173,1472,"0,03907%","83,09%",Kelas B (Medium-Moving),87,1558
84596G,1470,"0,03902%","83,13%",Kelas B (Medium-Moving),87,1557
16236,1468,"0,03896%","83,17%",Kelas B (Medium-Moving),87,1554
23392,1465,"0,0389%","83,21%",Kelas B (Medium-Moving),87,1552
22420,1464,"0,03886%","83,25%",Kelas B (Medium-Moving),87,1550
21901,1463,"0,03884%","83,28%",Kelas B (Medium-Moving),87,1550
21786,1461,"0,03878%","83,32%",Kelas B (Medium-Moving),87,1547
21242,1461,"0,03877%","83,36%",Kelas B (Medium-Moving),87,1547
21933,1460,"0,03876%","83,4%",Kelas B (Medium-Moving),87,1547
22943,1457,"0,03868%","83,44%",Kelas B (Medium-Moving),87,1544
21993,1451,"0,0385%","83,48%",Kelas B (Medium-Moving),87,1537
21616,1447,"0,03841%","83,52%",Kelas B (Medium-Moving),87,1534
21619,1447,"0,03841%","83,55%",Kelas B (Medium-Moving),87,1534
22804,1447,"0,03841%","83,59%",Kelas B (Medium-Moving),87,1533
22694,1445,"0,03836%","83,63%",Kelas B (Medium-Moving),87,1532
22710,1444,"0,03832%","83,67%",Kelas B (Medium-Moving),87,1530
21822,1442,"0,03827%","83,71%",Kelas B (Medium-Moving),87,1528
21990,1442,"0,03827%","83,75%",Kelas B (Medium-Moving),87,1528
22540,1442,"0,03827%","83,78%",Kelas B (Medium-Moving),87,1528
22725,1442,"0,03826%","83,82%",Kelas B (Medium-Moving),87,1528
85061W,1436,"0,03813%","83,86%",Kelas B (Medium-Moving),87,1523
84598,1436,"0,03812%","83,9%",Kelas B (Medium-Moving),87,1523
23502,1436,"0,03811%","83,94%",Kelas B (Medium-Moving),87,1522
21135,1431,"0,03797%","83,97%",Kelas B (Medium-Moving),87,1517
22716,1429,"0,03792%","84,01%",Kelas B (Medium-Moving),87,1515
21592,1426,"0,03786%","84,05%",Kelas B (Medium-Moving),87,1513
22572,1422,"0,03775%","84,09%",Kelas B (Medium-Moving),87,1509
16161P,1422,"0,03774%","84,13%",Kelas B (Medium-Moving),87,1508
23242,1411,"0,03745%","84,16%",Kelas B (Medium-Moving),87,1497
22971,1407,"0,03734%","84,2%",Kelas B (Medium-Moving),87,1493
85175,1405,"0,03731%","84,24%",Kelas B (Medium-Moving),87,1492
